Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,-0.0071,0.8917,-0.0875,0.094,367,
Calmar,delta,1,0.0064,0.9147,-0.0802,0.177,285,
AvgDailyRet%,delta,1,-0.0228,0.6639,-0.0761,0.1458,367,
Sharpe,delta,1,-0.0283,0.6156,-0.0703,0.2116,317,
CAGR%,delta,1,0.0019,0.9717,-0.0604,0.2481,367,
AvgDailyRet%,level,1,-0.048,0.3587,-0.0604,0.2476,368,
Sharpe,level,1,-0.078,0.1655,-0.0569,0.3121,318,
CAGR%,level,1,0.012,0.8178,-0.0569,0.2759,368,
Calmar,level,1,-0.0003,0.9956,-0.0564,0.3423,286,
Sortino,level,1,-0.0238,0.649,-0.0343,0.5119,368,
Sharpe,level,3,-0.1139,0.043,-0.0403,0.4757,316,
Sortino,delta,3,0.0239,0.6486,-0.038,0.4687,365,
Calmar,level,3,-0.0188,0.7527,-0.0368,0.5373,284,
CAGR%,delta,3,0.0231,0.6597,-0.0358,0.4952,365,
AvgDailyRet%,level,3,-0.0729,0.1641,-0.0338,0.5195,366,
Calmar,delta,3,0.018,0.7625,-0.0333,0.5767,283,
AvgDailyRet%,delta,3,-0.0527,0.3157,-0.0322,0.54,365,
Sortino,level,3,-0.0573,0.2743,-0.0319,0.5433,366,
CAGR%,level,3,0.007,0.8945,-0.0289,0.5821,366,
Sharpe,delta,3,-0.0589,0.2971,-0.0274,0.628,315,
AvgDailyRet%,level,5,-0.0679,0.1964,-0.0389,0.4592,364,
Sharpe,level,5,-0.1095,0.0527,-0.037,0.5135,314,
Calmar,level,5,-0.0332,0.5792,-0.0334,0.576,282,
Sortino,delta,5,0.0215,0.6829,-0.031,0.5564,363,
CAGR%,delta,5,0.028,0.5951,-0.0299,0.5705,363,
Sortino,level,5,-0.0769,0.143,-0.0279,0.5955,364,
CAGR%,level,5,-0.007,0.8938,-0.0278,0.5975,364,
Calmar,delta,5,0.0194,0.7455,-0.0255,0.6705,281,
Sharpe,delta,5,-0.0469,0.4084,-0.0213,0.7068,313,
AvgDailyRet%,delta,5,-0.0434,0.4101,-0.0203,0.7003,363,
