taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,2.8998,598.36,-22.079,27.1,0.6479
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,4.6392,1367.52,-12.314,111.051,nan
Volatility,Vol: High (rvol30 > p67),49,1.8144,135.41,-16.327,8.293,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,1.4617,38.69,-3.382,11.439,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,2.6191,509.3,-20.045,25.408,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,3.2829,621.49,-16.707,37.201,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,3.9922,1253.81,-12.314,101.816,nan
Trend,Trend: Bull (21d BTC > +5%),92,3.7322,1237.78,-12.314,100.515,nan
Trend,Trend: Sideways (-5% to +5%),185,3.2106,509.84,-14.449,35.285,0.0997
Trend,Trend: Bear  (21d BTC < -5%),121,2.7387,600.0,-17.317,34.647,nan
