window_days,min_cum_ret,start_idx,end_idx
1,-0.117535,200,200
3,-0.164725,198,200
7,-0.167801,38,44
14,-0.235933,34,47
21,-0.198550,180,200
30,-0.239388,173,202
40,-0.134585,161,200
50,-0.151113,158,207
60,-0.040645,145,204
70,0.132990,136,205
80,0.241952,121,200
90,0.241952,117,206
100,0.315294,104,203
