mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6482,0.0,5.648,1654.37,-5.54,1.4967,1.4967,100
return_noise,0.003,5.6482,0.0001,5.6479,1654.36,-5.54,1.4967,1.4966,100
return_noise,0.005,5.6482,0.0002,5.6477,1654.38,-5.54,1.4967,1.4966,100
return_noise,0.01,5.6481,0.0004,5.647,1653.51,-5.54,1.4967,1.4964,100
signal_shuffle,0.02,3.7476,0.0695,3.4942,824.18,-16.83,0.9931,0.9259,100
signal_shuffle,0.05,3.6995,0.1255,3.2493,804.62,-17.04,0.9803,0.861,100
signal_shuffle,0.1,3.6261,0.1754,3.1555,785.15,-17.24,0.9609,0.8362,100
signal_shuffle,0.2,3.5294,0.2724,2.6243,770.5,-19.55,0.9352,0.6954,100
ranking_noise,0.02,3.7128,0.118,3.3266,827.6,-17.86,0.9838,0.8815,100
ranking_noise,0.05,3.6043,0.2197,2.858,807.84,-19.85,0.9551,0.7573,100
ranking_noise,0.1,3.3673,0.2893,2.7082,726.8,-22.65,0.8923,0.7176,100
