mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.7392,0.0,5.7391,25733.85,-16.21,1.8061,1.806,100
return_noise,0.003,5.7392,0.0001,5.739,25733.6,-16.21,1.8061,1.806,100
return_noise,0.005,5.7392,0.0002,5.7387,25733.78,-16.21,1.8061,1.8059,100
return_noise,0.01,5.7409,0.012,5.7381,25809.57,-16.21,1.8066,1.8057,100
signal_shuffle,0.02,3.1427,0.0897,2.7571,4008.36,-48.23,0.989,0.8676,100
signal_shuffle,0.05,3.0559,0.1928,2.4579,3654.71,-47.89,0.9617,0.7735,100
signal_shuffle,0.1,2.9202,0.2633,2.1863,3173.22,-49.59,0.919,0.688,100
signal_shuffle,0.2,2.8487,0.3194,2.0905,3004.48,-51.33,0.8965,0.6579,100
ranking_noise,0.02,3.0684,0.1507,2.5281,3693.19,-48.96,0.9656,0.7956,100
ranking_noise,0.05,2.9427,0.2577,1.981,3281.31,-50.93,0.926,0.6234,100
ranking_noise,0.1,2.7067,0.2823,2.1047,2409.73,-55.86,0.8518,0.6623,100
