threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.0226,8,8.33,8,True,Robust plateau | baseline inside
0.975,3.1022,8,8.33,8,True,Robust plateau | baseline inside
0.99,3.1499,8,8.33,8,True,Robust plateau | baseline inside
