window_days,min_cum_ret,start_idx,end_idx
1,-0.255243,283,283
3,-0.281820,72,74
7,-0.401644,277,283
14,-0.459394,270,283
21,-0.328604,264,284
30,-0.272429,313,342
40,-0.212550,89,128
50,0.119790,158,207
60,0.121751,224,283
70,0.164108,273,342
80,0.365930,263,342
90,0.559367,253,342
100,0.789685,243,342
