n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.1777,4183.79,-48.151,0.0,0.0
1,39.4%,3.0327,3086.85,-48.151,-0.145,-1096.94
3,"39.4%, 37.0%, 36.1%",2.733,1723.19,-48.151,-0.4447,-2460.61
5,"39.4%, 37.0%, 36.1%, 35.8%, 33.8%",2.4138,962.56,-48.151,-0.7639,-3221.23
10,"39.4%, 37.0%, 36.1%, 35.8%, 33.8% … +5 more",1.6218,249.19,-66.101,-1.5559,-3934.6
