L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,0.6,3.1601,244.23,-15.333,-7.557,15.929,0.5581,False
0.0,0.8,3.1817,398.19,-20.055,-9.282,19.855,0.5557,False
0.0,1.0,3.1817,611.71,-24.591,-11.602,24.876,0.5557,False
0.0,1.2,3.1817,899.62,-28.945,-13.922,31.08,0.5557,False
0.0,1.4,3.1817,1280.84,-33.122,-16.243,38.67,0.5557,False
0.0,1.5,3.1817,1513.0,-35.145,-17.403,43.05,0.5557,False
0.0,1.6,3.1817,1776.62,-37.126,-18.563,47.853,0.5557,False
0.0,1.8,3.1817,2409.93,-40.963,-20.884,58.832,0.5557,False
0.0,2.0,3.1817,3204.55,-44.636,-23.204,71.792,0.5557,False
0.1,0.6,3.1601,244.23,-15.333,-7.557,15.929,0.5581,False
0.1,0.8,3.1817,398.19,-20.055,-9.282,19.855,0.5557,False
0.1,1.0,3.1817,611.71,-24.591,-11.602,24.876,0.5557,False
0.1,1.2,3.1817,899.62,-28.945,-13.922,31.08,0.5557,False
0.1,1.4,3.1817,1280.84,-33.122,-16.243,38.67,0.5557,False
0.1,1.5,3.1817,1513.0,-35.145,-17.403,43.05,0.5557,False
0.1,1.6,3.1817,1776.62,-37.126,-18.563,47.853,0.5557,False
0.1,1.8,3.1817,2409.93,-40.963,-20.884,58.832,0.5557,False
0.1,2.0,3.1817,3204.55,-44.636,-23.204,71.792,0.5557,False
0.2,0.6,3.1601,244.23,-15.333,-7.557,15.929,0.5581,False
0.2,0.8,3.1817,398.19,-20.055,-9.282,19.855,0.5557,False
0.2,1.0,3.1817,611.71,-24.591,-11.602,24.876,0.5557,False
0.2,1.2,3.1817,899.62,-28.945,-13.922,31.08,0.5557,False
0.2,1.4,3.1817,1280.84,-33.122,-16.243,38.67,0.5557,False
0.2,1.5,3.1817,1513.0,-35.145,-17.403,43.05,0.5557,False
0.2,1.6,3.1817,1776.62,-37.126,-18.563,47.853,0.5557,False
0.2,1.8,3.1817,2409.93,-40.963,-20.884,58.832,0.5557,False
0.2,2.0,3.1817,3204.55,-44.636,-23.204,71.792,0.5557,False
0.3,0.6,3.1601,244.23,-15.333,-7.557,15.929,0.5581,False
0.3,0.8,3.1817,398.19,-20.055,-9.282,19.855,0.5557,False
