EARLY_KILL_X,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
15,0.0,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.0005,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.0008,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.001,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.0015,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.002,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.0025,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
15,0.003,1.7817,423.8,-82.112,-29.447,5.161,1.4253,False
20,0.0,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.0005,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.0008,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.001,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.0015,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.002,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.0025,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
20,0.003,1.345,136.86,-87.964,-29.282,1.556,1.4377,False
25,0.0,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.0005,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.0008,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.001,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.0015,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.002,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.0025,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
25,0.003,1.9223,600.31,-55.896,-27.654,10.74,0.6115,False
30,0.0,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.0005,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.0008,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.001,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.0015,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.002,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.0025,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
30,0.003,2.2156,1033.66,-58.248,-27.874,17.746,0.8401,False
35,0.0,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.0005,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.0008,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.001,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.0015,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.002,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.0025,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,False
35,0.003,3.1817,4183.79,-48.151,-25.524,86.889,0.5557,True
40,0.0,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.0005,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.0008,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.001,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.0015,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.002,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.0025,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
40,0.003,2.7009,2425.31,-57.265,-27.071,42.352,0.7902,False
45,0.0,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.0005,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.0008,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.001,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.0015,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.002,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.0025,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
45,0.003,2.5386,1773.7,-65.45,-30.668,27.1,1.1256,False
50,0.0,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.0005,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.0008,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.001,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.0015,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.002,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.0025,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
50,0.003,2.3652,1205.25,-70.009,-28.688,17.216,1.1049,False
