Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3938,4.2,20.0,✓
5,5,1.8212,19.5,45.0,✓
10,10,3.1972,34.3,65.0,✓
20,21,5.5823,59.9,,
25,27,6.7272,72.2,,
