trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
0,2.320541,-0.058900,0.083068,37,0.002026,0.124245,870,2.333300,1649.620000,-80.722000,20.436000,1.313600
1,2.325868,-0.053306,0.073884,34,0.004024,0.100358,906,2.275900,1536.740000,-67.460000,22.780000,0.618600
2,2.175102,-0.055090,0.076228,31,0.003786,0.099480,869,2.172300,1031.250000,-68.149000,15.132000,0.710800
3,2.135991,-0.068473,0.083845,38,0.002267,0.087604,457,3.043100,3375.270000,-66.421000,50.817000,0.854700
4,2.047887,-0.063295,0.080507,40,0.002582,0.080673,702,2.433800,1227.010000,-51.808000,23.684000,0.919500
5,2.063367,-0.053339,0.074453,32,0.003408,0.085475,912,2.516600,1519.650000,-46.103000,32.962000,0.680200
6,2.288117,-0.056623,0.082476,38,0.002730,0.074760,825,3.026200,2832.150000,-37.968000,74.593000,0.553600
7,2.041491,-0.054598,0.063916,38,0.003396,0.104772,882,2.587100,2178.170000,-58.731000,37.087000,0.650600
8,2.181923,-0.061237,0.066895,31,0.003404,0.087919,758,1.911300,595.330000,-74.923000,7.946000,0.919100
9,2.316599,-0.062425,0.076206,36,0.002529,0.056219,684,3.139500,2447.230000,-46.336000,52.815000,0.662200
10,2.074417,-0.058354,0.082952,32,0.001940,0.074260,601,1.972400,576.070000,-52.706000,10.930000,0.940400
11,2.271243,-0.061027,0.081388,37,0.002775,0.112609,528,2.194300,1075.230000,-82.578000,13.021000,1.501500
12,1.989993,-0.052621,0.080003,35,0.002187,0.090075,520,2.736200,1931.900000,-61.322000,31.504000,0.853700
13,2.286381,-0.059031,0.072323,33,0.003313,0.080051,482,1.560900,254.350000,-83.206000,3.057000,1.336800
14,2.031923,-0.068314,0.084193,37,0.002438,0.123781,881,2.424300,1489.060000,-78.685000,18.924000,1.346900
15,2.295432,-0.059089,0.069875,31,0.003966,0.086816,549,1.856000,520.240000,-82.644000,6.295000,1.010800
