shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.1777,4183.79,-48.151,0.0,0.0,True
-10.0,1,3.1166,3829.86,-52.804,-0.0611,-4.653,False
-10.0,3,2.9814,3139.29,-61.771,-0.1963,-13.62,False
-10.0,5,2.9406,2950.33,-64.196,-0.2371,-16.046,False
-20.0,1,3.0369,3427.49,-58.048,-0.1408,-9.897,False
-20.0,3,2.7497,2242.7,-73.151,-0.428,-25.0,False
-20.0,5,2.5614,1677.42,-80.132,-0.6163,-31.981,False
-30.0,1,2.9469,3020.92,-63.292,-0.2308,-15.141,False
-30.0,3,2.5003,1522.43,-82.013,-0.6774,-33.862,False
-30.0,5,2.1694,863.55,-89.809,-1.0083,-41.659,False
-40.0,1,2.8484,2609.48,-68.536,-0.3293,-20.385,False
-40.0,3,2.244,961.64,-88.673,-0.9338,-40.522,False
-40.0,5,1.7873,375.22,-95.285,-1.3904,-47.134,False
