aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.51664,1.03328,2.5404,-0.6373,1476.05,-51.15,28.86,Excellent
143844,0.61963,1.23926,2.4102,-0.7675,1189.63,-51.73,23.0,Institutional
206913,0.74316,1.48632,2.2528,-0.925,913.34,-52.42,17.42,Institutional
297635,0.89131,1.78262,2.0623,-1.1154,658.27,-53.23,12.37,Institutional
428133,1.069,2.138,1.8316,-1.3462,434.93,-54.2,8.02,Survival
615848,1.28211,2.56422,1.5519,-1.6258,251.43,-57.49,4.37,Survival
885866,1.5377,3.0754,1.2129,-1.9648,111.81,-64.15,1.74,Marginal
1274274,1.84425,3.68849,0.8023,-2.3754,15.01,-71.71,0.21,Unusable
1832980,2.21191,4.42381,0.306,-2.8718,-45.0,-81.1,-0.55,Unusable
2636650,2.65286,5.30572,-0.2913,-3.469,-77.46,-91.76,-0.84,Unusable
3792690,3.18172,6.36343,-1.0042,-4.182,-92.35,-97.05,-0.95,Unusable
5455594,3.816,7.63201,-1.8439,-5.0216,-97.94,-99.18,-0.99,Unusable
7847599,4.57674,9.15348,-2.8124,-5.9901,-99.58,-99.82,-1.0,Unusable
11288378,5.48913,10.97826,-3.8961,-7.0739,-99.94,-99.97,-1.0,Unusable
16237767,6.58341,13.16682,-5.0592,-8.237,-99.99,-100.0,-1.0,Unusable
23357214,7.89584,15.79168,-6.2428,-9.4205,-100.0,-100.0,-1.0,Unusable
33598182,9.4699,18.93981,-7.3741,-10.5518,-100.0,-100.0,-1.0,Unusable
48329302,11.35777,22.71553,-8.3856,-11.5633,-100.0,-100.0,-1.0,Unusable
69519279,13.62198,27.24397,-9.2333,-12.411,-100.0,-100.0,-1.0,Unusable
100000000,16.33758,32.67516,-9.9042,-13.0819,-100.0,-100.0,-1.0,Unusable
