period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.01323,0.152815,-0.0863,0.3938,-0.255243,61,47
weekly,56,0.517857,0.092313,0.227294,-0.0948,1.132953,-0.185081,29,15
monthly,13,0.846154,0.439101,0.550212,-0.172014,1.752484,-0.224023,11,2
