drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.098,496.5,-43.48,102,296,1.364,1.924,66.7,3
0.023,1.4,2.102,513.0,-43.48,105,293,1.522,1.943,66.7,3
0.024,1.4,2.102,513.0,-43.48,105,293,1.522,1.943,66.7,3
0.025,1.4,2.069,489.6,-43.48,106,292,1.568,1.889,66.7,3
0.026,1.4,2.069,489.6,-43.48,106,292,1.568,1.889,66.7,3
0.027,1.4,2.023,461.3,-43.48,110,288,1.636,1.791,77.8,2
0.028,1.4,2.023,461.3,-43.48,110,288,1.636,1.791,77.8,2
0.029,1.4,2.119,533.6,-43.48,111,287,1.502,1.953,77.8,2
0.03,1.4,2.245,647.4,-43.48,112,286,1.502,1.953,77.8,2
0.031,1.4,2.186,598.0,-43.48,113,285,1.502,1.953,77.8,2
0.032,1.4,2.186,598.0,-43.48,113,285,1.502,1.953,77.8,2
0.033,1.4,2.166,583.4,-43.48,115,283,1.502,1.953,77.8,2
0.034,1.4,2.166,583.4,-43.48,115,283,1.502,1.953,77.8,2
0.035,1.4,2.166,583.4,-43.48,115,283,1.502,1.953,77.8,2
0.04,1.4,2.158,587.6,-46.99,117,281,1.402,1.92,77.8,2
