blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.1777,4183.79,-48.151,0.0,0.0
1,+175.2%,2.6404,1592.64,-48.151,-0.5373,-2591.16
2,"+175.2%, +75.7%",2.3428,967.32,-48.151,-0.8349,-3216.47
3,"+175.2%, +75.7%, +68.0%",2.0467,563.41,-53.563,-1.131,-3620.38
