blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.8732,6.74,-85.642,0.0,0.0
1,+224.3%,0.1786,-63.72,-85.642,-0.6946,-70.45
2,"+224.3%, +129.1%",-0.3252,-80.23,-90.575,-1.1984,-86.97
3,"+224.3%, +129.1%, +127.9%",-1.0366,-91.31,-96.155,-1.9098,-98.05
