n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.8732,6.74,-85.642,0.0,0.0
1,42.5%,0.6706,-22.89,-85.642,-0.2026,-29.63
3,"42.5%, 32.7%, 25.9%",0.3669,-52.1,-85.642,-0.5063,-58.83
5,"42.5%, 32.7%, 25.9%, 25.5%, 25.1%",0.0891,-68.62,-85.642,-0.7841,-75.36
10,"42.5%, 32.7%, 25.9%, 25.5%, 25.1% … +5 more",-0.6432,-88.97,-94.858,-1.5164,-95.71
