shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,0.8732,6.74,-85.642,0.0,0.0,True
-10.0,1,0.9062,13.61,-84.631,0.033,1.011,False
-10.0,3,0.775,-10.14,-88.099,-0.0982,-2.457,False
-10.0,5,0.717,-19.24,-89.406,-0.1562,-3.765,False
-20.0,1,0.85,1.98,-86.339,-0.0232,-0.697,False
-20.0,3,0.6103,-35.01,-91.642,-0.2629,-6.0,False
-20.0,5,0.447,-52.94,-94.121,-0.4262,-8.48,False
-30.0,1,0.7921,-9.78,-88.046,-0.0811,-2.405,False
-30.0,3,0.4464,-54.99,-94.401,-0.4268,-8.759,False
-30.0,5,0.1862,-74.49,-96.985,-0.687,-11.343,False
-40.0,1,0.7329,-21.67,-89.754,-0.1403,-4.112,False
-40.0,3,0.2871,-70.55,-96.474,-0.5861,-10.832,False
-40.0,5,-0.0569,-87.42,-98.605,-0.9301,-12.963,False
