window_days,min_cum_ret,start_idx,end_idx
1,-0.193635,112,112
3,-0.477555,277,279
7,-0.756210,277,283
14,-1.099803,270,283
21,-1.155838,95,115
30,-1.404398,86,115
40,-1.574433,267,306
50,-1.600823,266,315
60,-1.425367,271,330
70,-1.428371,270,339
80,-1.421685,263,342
90,-1.201925,264,353
100,-1.110315,263,362
