Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,3,1.0111,7.4,20.0,✓
5,16,4.0794,29.8,45.0,✓
10,33,7.0745,51.7,65.0,✓
20,66,11.0548,80.8,,
25,83,12.2592,89.6,,
