drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,0.449,-7.1,-60.78,305,93,4.723,1.011,77.8,2
0.023,1.4,0.58,5.9,-60.49,314,84,5.007,1.019,77.8,2
0.024,1.4,0.501,-3.0,-60.49,316,82,5.804,0.847,77.8,2
0.025,1.4,0.48,-5.2,-60.49,317,81,6.043,0.813,77.8,2
0.026,1.4,0.511,-1.9,-59.97,318,80,5.789,0.856,77.8,2
0.027,1.4,0.471,-6.3,-59.97,323,75,6.018,0.829,66.7,3
0.028,1.4,0.471,-6.3,-59.97,323,75,6.018,0.829,66.7,3
0.029,1.4,0.471,-6.5,-63.16,325,73,6.049,0.866,66.7,3
0.03,1.4,0.656,14.0,-63.16,327,71,5.469,0.972,66.7,3
0.031,1.4,0.621,9.6,-63.16,328,70,5.469,0.972,66.7,3
0.032,1.4,0.668,15.3,-63.16,329,69,5.469,0.972,66.7,3
0.033,1.4,0.657,14.0,-63.16,331,67,5.469,0.972,66.7,3
0.034,1.4,0.657,14.0,-63.16,331,67,5.469,0.972,66.7,3
0.035,1.4,0.657,14.0,-63.16,331,67,5.469,0.972,66.7,3
0.04,1.4,0.687,17.4,-66.12,334,64,5.438,0.932,66.7,3
