period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.356784,0.004209,0.09632,-0.062513,0.42458,-0.193635,142,192
weekly,56,0.428571,0.037785,0.279684,-0.148273,1.088337,-0.514552,24,31
monthly,13,0.461538,0.312602,1.041917,-0.312525,2.243173,-0.786259,6,7
