Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3978,8.7,20.0,✓
5,4,1.3198,28.9,45.0,✓
10,9,2.4544,53.7,65.0,✓
20,18,3.5824,78.4,,
25,23,3.9301,86.0,,
