drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,1.174,80.3,-53.63,93,305,0.974,2.636,88.9,1
0.023,1.4,1.241,89.3,-53.63,95,303,0.865,2.872,88.9,1
0.024,1.4,1.241,89.3,-53.63,95,303,0.865,2.872,88.9,1
0.025,1.4,1.241,89.3,-53.63,95,303,0.865,2.872,88.9,1
0.026,1.4,1.241,89.3,-53.63,95,303,0.865,2.872,88.9,1
0.027,1.4,0.97,56.8,-53.63,97,301,1.101,2.311,77.8,2
0.028,1.4,0.97,56.8,-53.63,97,301,1.101,2.311,77.8,2
0.029,1.4,1.082,70.2,-53.63,98,300,0.988,2.471,77.8,2
0.03,1.4,1.082,70.2,-53.63,98,300,0.988,2.471,77.8,2
0.031,1.4,1.019,62.7,-55.86,99,299,0.988,2.471,77.8,2
0.032,1.4,1.019,62.7,-55.86,99,299,0.988,2.471,77.8,2
0.033,1.4,1.019,62.7,-55.86,99,299,0.988,2.471,77.8,2
0.034,1.4,1.019,62.7,-55.86,99,299,0.988,2.471,77.8,2
0.035,1.4,1.019,62.7,-55.86,99,299,0.988,2.471,77.8,2
0.04,1.4,0.908,50.2,-55.86,100,298,1.161,2.312,77.8,2
