taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,0.4818,-4.15,-71.972,-0.058,2.347
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,3.3268,520.89,-7.584,68.678,nan
Volatility,Vol: High (rvol30 > p67),49,0.933,51.76,-23.981,2.158,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,-2.8169,-55.29,-9.647,-5.731,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,0.5077,-0.43,-49.845,-0.009,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,2.181,570.0,-29.029,19.636,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,0.8462,38.93,-49.669,0.784,nan
Trend,Trend: Bull (21d BTC > +5%),92,1.093,87.67,-52.897,1.657,nan
Trend,Trend: Sideways (-5% to +5%),185,2.092,396.27,-25.196,15.727,0.2155
Trend,Trend: Bear  (21d BTC < -5%),121,0.0833,-38.56,-50.02,-0.771,nan
