shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,1.2119,115.84,-62.588,0.0,0.0,True
-10.0,1,1.1196,95.96,-66.329,-0.0923,-3.741,False
-10.0,3,0.9374,61.53,-72.727,-0.2745,-10.139,False
-10.0,5,0.7585,33.14,-77.909,-0.4534,-15.321,False
-20.0,1,1.0198,75.9,-70.07,-0.1922,-7.482,False
-20.0,3,0.6549,16.82,-80.845,-0.5571,-18.257,False
-20.0,5,0.3126,-22.42,-87.741,-0.8993,-25.153,False
-30.0,1,0.9154,55.62,-73.812,-0.2966,-11.224,False
-30.0,3,0.3839,-19.1,-87.168,-0.828,-24.58,False
-30.0,5,-0.084,-57.94,-93.712,-1.2959,-31.124,False
-40.0,1,0.8094,35.11,-77.553,-0.4026,-14.965,False
-40.0,3,0.1379,-47.06,-91.919,-1.074,-29.331,False
-40.0,5,-0.4143,-79.26,-97.091,-1.6262,-34.503,False
