aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.56213,1.12425,0.2904,-0.9215,-18.28,-66.45,-0.28,Unusable
143844,0.67419,1.34837,0.1052,-1.1067,-32.76,-70.69,-0.46,Unusable
206913,0.80859,1.61718,-0.117,-1.3289,-46.81,-75.9,-0.62,Unusable
297635,0.96979,1.93957,-0.3833,-1.5952,-59.88,-80.95,-0.74,Unusable
428133,1.16312,2.32624,-0.7016,-1.9136,-71.43,-85.65,-0.83,Unusable
615848,1.39499,2.78998,-1.0809,-2.2928,-81.02,-89.8,-0.9,Unusable
885866,1.67309,3.34617,-1.5302,-2.7421,-88.41,-93.24,-0.95,Unusable
1274274,2.00662,4.01325,-2.058,-3.2699,-93.61,-96.08,-0.97,Unusable
1832980,2.40665,4.8133,-2.6704,-3.8824,-96.88,-98.05,-0.99,Unusable
2636650,2.88643,5.77286,-3.3687,-4.5806,-98.7,-99.16,-1.0,Unusable
3792690,3.46185,6.9237,-4.1458,-5.3578,-99.55,-99.72,-1.0,Unusable
5455594,4.15198,8.30396,-4.9835,-6.1955,-99.87,-99.93,-1.0,Unusable
7847599,4.9797,9.95939,-5.8508,-7.0628,-99.97,-99.99,-1.0,Unusable
11288378,5.97242,11.94484,-6.7066,-7.9186,-100.0,-100.0,-1.0,Unusable
16237767,7.16304,14.32609,-7.5073,-8.7192,-100.0,-100.0,-1.0,Unusable
23357214,8.59103,17.18205,-8.2161,-9.428,-100.0,-100.0,-1.0,Unusable
33598182,10.30368,20.60736,-8.8112,-10.0232,-100.0,-100.0,-1.0,Unusable
48329302,12.35776,24.71552,-9.288,-10.5,-100.0,-100.0,-1.0,Unusable
69519279,14.82133,29.64266,-9.6552,-10.8671,-100.0,-100.0,-1.0,Unusable
100000000,17.77602,35.55204,-9.9294,-11.1413,-100.0,-100.0,-1.0,Unusable
