blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,1.2119,115.84,-62.588,0.0,0.0
1,+51.9%,0.8494,47.09,-61.573,-0.3625,-68.75
2,"+51.9%, +48.9%",0.4066,2.1,-68.261,-0.8053,-113.75
3,"+51.9%, +48.9%, +39.9%",-0.0843,-24.98,-68.261,-1.2962,-140.82
