n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,1.2119,115.84,-62.588,0.0,0.0
1,39.8%,0.9279,58.95,-68.746,-0.284,-56.89
3,"39.8%, 36.0%, 29.8%",0.3497,-5.78,-71.738,-0.8622,-121.62
5,"39.8%, 36.0%, 29.8%, 26.4%, 26.3%",-0.2272,-38.99,-75.368,-1.4392,-154.83
10,"39.8%, 36.0%, 29.8%, 26.4%, 26.3% … +5 more",-1.7704,-75.08,-86.039,-2.9823,-190.92
