L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,1.069,20.3,-16.59,309,1.073,,,0.959,2.57,77.8,2,-2.258,3.525
0.9,1.124,27.1,-20.57,309,1.129,,,0.959,2.57,77.8,2,-2.258,3.525
1.0,1.168,35.0,-24.84,309,1.173,,,0.959,2.57,77.8,2,-2.258,3.525
1.1,1.204,43.9,-29.32,309,1.209,,,0.959,2.57,77.8,2,-2.258,3.525
1.2,1.211,51.1,-33.17,309,1.216,,,0.956,2.585,77.8,2,-2.324,3.525
1.3,1.211,58.1,-37.08,309,1.216,,,0.953,2.592,77.8,2,-2.337,3.493
1.4,1.248,67.7,-40.21,309,1.253,,,0.942,2.6,77.8,2,-2.255,3.484
1.5,1.252,75.0,-43.46,309,1.257,,,0.94,2.599,77.8,2,-2.227,3.513
1.6,1.245,81.3,-46.72,309,1.25,,,0.952,2.583,77.8,2,-2.306,3.532
1.7,1.237,87.5,-49.94,309,1.242,,,0.964,2.567,77.8,2,-2.38,3.547
1.8,1.241,95.1,-52.53,309,1.246,,,0.976,2.551,77.8,2,-2.45,3.556
1.9,1.242,102.3,-55.14,309,1.247,,,0.988,2.535,77.8,2,-2.516,3.564
2.0,1.242,109.4,-57.71,309,1.247,,,1.0,2.519,77.8,2,-2.579,3.563
2.1,1.243,116.3,-60.25,309,1.248,,,1.01,2.507,77.8,2,-2.637,3.556
2.2,1.239,121.3,-62.81,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
2.3,1.239,124.9,-64.57,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
2.4,1.24,128.6,-66.25,309,1.245,,,1.02,2.495,77.8,2,-2.692,3.549
2.5,1.24,130.9,-67.86,309,1.244,,,1.02,2.495,77.8,2,-2.692,3.549
2.6,1.239,132.3,-69.41,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
2.7,1.239,133.7,-70.89,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
2.8,1.239,135.1,-72.3,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
2.9,1.239,136.0,-73.66,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
3.0,1.239,136.5,-74.97,309,1.243,,,1.02,2.495,77.8,2,-2.692,3.549
