surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,2.2078,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,2.2659,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,2.3008,8,12.5,8,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,1.6562,99,55.0,99,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,1.6998,74,41.11,42,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,1.726,8,4.44,6,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,1.2938,24,22.22,24,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,1.3279,12,11.11,12,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,1.3483,12,11.11,12,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,1.6914,34,17.17,34,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,1.7359,4,2.02,4,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,1.7626,1,0.51,1,False,Single-cell peak | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,1.2964,24,30.0,24,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,1.3305,15,18.75,9,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,1.351,2,2.5,2,False,Thin plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,1.2786,64,80.0,48,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,1.3123,8,10.0,8,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,1.3324,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,1.4301,40,50.0,40,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,1.4678,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.4903,8,10.0,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,1.4301,56,58.33,56,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,1.4678,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.4903,8,8.33,8,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,1.8397,5,7.14,5,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,1.8881,4,5.71,4,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,1.9171,1,1.43,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,2.0847,1,4.0,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,2.1395,1,4.0,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,2.1725,1,4.0,1,False,Single-cell peak | baseline outside
