EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,2.1944,652.05,-57.363,-25.245,11.367,0.9631,False
0.001,0.0015,2.0195,494.3,-61.033,-25.245,8.099,0.9987,False
0.001,0.002,1.6189,244.69,-61.033,-17.523,4.009,1.0643,False
0.001,0.0025,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.001,0.003,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.0015,0.001,2.0195,494.3,-61.033,-25.245,8.099,0.9987,False
0.0015,0.0015,2.0195,494.3,-61.033,-25.245,8.099,0.9987,False
0.0015,0.002,1.6189,244.69,-61.033,-17.523,4.009,1.0643,False
0.0015,0.0025,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.0015,0.003,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.002,0.001,1.6189,244.69,-61.033,-17.523,4.009,1.0643,False
0.002,0.0015,1.6189,244.69,-61.033,-17.523,4.009,1.0643,False
0.002,0.002,1.6189,244.69,-61.033,-17.523,4.009,1.0643,False
0.002,0.0025,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.002,0.003,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.0025,0.001,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.0025,0.0015,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.0025,0.002,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.0025,0.0025,1.3336,146.3,-61.821,-17.523,2.367,1.055,False
0.0025,0.003,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.003,0.001,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.003,0.0015,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.003,0.002,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.003,0.0025,1.2385,121.34,-62.807,-17.523,1.932,1.0204,False
0.003,0.003,1.2385,121.34,-62.807,-17.523,1.932,1.0204,True
