period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.115578,0.003485,0.09931,-0.066274,0.39776,-0.17523,46,48
weekly,56,0.446429,0.024125,0.135617,-0.127463,0.36014,-0.293358,25,16
monthly,13,0.615385,0.116978,0.342902,-0.244501,0.519148,-0.496106,8,5
