window_days,min_cum_ret,start_idx,end_idx
1,-0.175230,105,105
3,-0.306790,105,107
7,-0.461814,87,93
14,-0.461814,87,100
21,-0.768604,87,107
30,-0.865074,87,116
40,-0.865074,87,126
50,-0.890759,84,133
60,-0.743530,72,131
70,-0.534017,75,144
80,-0.405280,34,113
90,-0.435475,24,113
100,-0.460280,34,133
