L_HIGH,PORT_TSL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.8,0.04,1.0033,39.76,-27.02,-6.548,1.471,1.3673,False
0.8,0.045,1.0311,40.78,-25.309,-7.08,1.611,1.4152,False
0.8,0.05,1.4634,67.78,-25.846,-6.372,2.622,0.6758,False
0.8,0.055,1.476,68.6,-26.06,-7.112,2.633,0.6748,False
0.8,0.06,1.6225,73.56,-26.898,-7.348,2.735,0.5491,False
0.8,0.065,1.5307,69.08,-26.898,-8.556,2.568,0.6133,False
0.8,0.075,1.4747,65.74,-27.889,-9.832,2.357,0.6757,False
0.8,0.08,1.7804,82.85,-27.889,-6.372,2.971,0.4409,False
0.8,0.085,1.7616,81.72,-28.373,-6.372,2.88,0.4409,False
0.8,0.09,1.7486,80.95,-28.705,-6.372,2.82,0.4409,False
0.8,0.095,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.1,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.105,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.11,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.115,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.12,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.125,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.8,0.13,1.7315,79.95,-29.134,-6.372,2.744,0.4409,False
0.9,0.04,0.9809,42.5,-29.909,-7.366,1.421,1.3936,False
0.9,0.045,1.0111,43.92,-28.049,-7.965,1.566,1.4344,False
0.9,0.05,1.4388,74.93,-28.633,-7.168,2.617,0.691,False
0.9,0.055,1.4521,75.96,-28.865,-8.001,2.631,0.6839,False
0.9,0.06,1.6051,82.41,-29.774,-8.267,2.768,0.5565,False
0.9,0.065,1.5157,77.14,-29.774,-9.625,2.591,0.6146,False
0.9,0.075,1.4571,73.0,-30.849,-11.061,2.366,0.684,False
0.9,0.08,1.7514,92.37,-30.849,-7.168,2.994,0.4509,False
0.9,0.085,1.7325,91.03,-31.374,-7.168,2.901,0.4509,False
0.9,0.09,1.7195,90.11,-31.734,-7.168,2.84,0.4509,False
0.9,0.095,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.1,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.105,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.11,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.115,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.12,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.125,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
0.9,0.13,1.7024,88.92,-32.199,-7.168,2.762,0.4509,False
1.0,0.04,0.9656,45.18,-32.699,-8.185,1.382,1.4135,False
1.0,0.045,0.997,46.93,-30.703,-8.85,1.528,1.4501,False
1.0,0.05,1.4194,82.0,-31.329,-7.965,2.617,0.7038,False
1.0,0.055,1.4337,83.26,-31.578,-8.89,2.637,0.6915,False
1.0,0.06,1.6144,93.07,-32.553,-8.708,2.859,0.5336,False
1.0,0.065,1.5128,86.29,-32.553,-10.695,2.651,0.6112,False
1.0,0.075,1.4463,80.59,-33.703,-12.29,2.391,0.6886,False
1.0,0.08,1.7236,101.89,-33.703,-7.965,3.023,0.4586,False
1.0,0.085,1.7047,100.32,-34.265,-7.965,2.928,0.4586,False
1.0,0.09,1.6916,99.24,-34.651,-7.965,2.864,0.4586,False
1.0,0.095,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.1,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.105,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.11,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.115,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.12,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.125,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.0,0.13,1.6745,97.85,-35.148,-7.965,2.784,0.4586,False
1.1,0.04,0.9674,48.79,-35.394,-9.003,1.378,1.4089,False
1.1,0.045,0.9793,49.19,-33.273,-9.735,1.478,1.471,False
1.1,0.05,1.3909,87.71,-33.938,-8.761,2.584,0.7232,False
1.1,0.055,1.4166,90.26,-34.203,-9.779,2.639,0.6995,False
1.1,0.06,1.6156,103.69,-35.236,-9.323,2.943,0.5238,False
1.1,0.065,1.5055,94.97,-35.236,-11.764,2.695,0.6132,False
1.1,0.075,1.4403,88.55,-36.456,-13.519,2.429,0.6935,False
1.1,0.08,1.7136,112.99,-36.456,-8.761,3.099,0.4632,False
1.1,0.085,1.6947,111.16,-37.051,-8.761,3.0,0.4632,False
1.1,0.09,1.6816,109.9,-37.459,-8.761,2.934,0.4632,False
1.1,0.095,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.1,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.105,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.11,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.115,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.12,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.125,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.1,0.13,1.6646,108.28,-37.986,-8.761,2.851,0.4632,False
1.2,0.04,0.9796,53.17,-37.997,-9.822,1.399,1.3884,False
1.2,0.045,0.9765,52.31,-35.762,-10.62,1.463,1.4747,False
1.2,0.05,1.3852,95.41,-36.462,-9.558,2.617,0.7272,False
1.2,0.055,1.4004,96.88,-36.741,-10.668,2.637,0.708,False
1.2,0.06,1.6129,114.18,-37.828,-10.042,3.018,0.5218,False
1.2,0.065,1.5019,104.01,-37.828,-12.834,2.75,0.6136,False
1.2,0.075,1.4375,96.78,-39.109,-14.748,2.475,0.698,False
1.2,0.08,1.7063,124.5,-39.109,-9.558,3.183,0.4679,False
1.2,0.085,1.6875,122.39,-39.734,-9.558,3.08,0.4679,False
1.2,0.09,1.6744,120.94,-40.163,-9.558,3.011,0.4679,False
1.2,0.095,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.1,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.105,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.11,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.115,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.12,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.125,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.2,0.13,1.6573,119.06,-40.716,-9.558,2.924,0.4679,False
1.3,0.04,0.9796,56.28,-40.508,-10.64,1.389,1.3884,False
1.3,0.045,0.9765,55.4,-38.171,-11.505,1.451,1.4747,False
1.3,0.05,1.3852,103.59,-38.903,-10.354,2.663,0.7272,False
1.3,0.055,1.399,105.1,-39.194,-11.557,2.682,0.7089,False
1.3,0.06,1.6135,125.41,-40.329,-10.864,3.11,0.5216,False
1.3,0.065,1.5023,113.66,-40.329,-13.903,2.818,0.6136,False
1.3,0.075,1.4376,105.35,-41.666,-15.977,2.528,0.698,False
1.3,0.08,1.7063,137.14,-41.666,-10.354,3.291,0.4679,False
1.3,0.085,1.6874,134.71,-42.318,-10.354,3.183,0.4679,False
1.3,0.09,1.6744,133.04,-42.765,-10.354,3.111,0.4679,False
1.3,0.095,1.6573,130.89,-43.342,-10.354,3.02,0.4679,False
1.3,0.1,1.6573,130.89,-43.342,-10.354,3.02,0.4679,False
1.3,0.105,1.6573,130.89,-43.342,-10.354,3.02,0.4679,False
1.3,0.11,1.6573,130.89,-43.342,-10.354,3.02,0.4679,False
