mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,3.4788,0.0,3.4787,1073.78,-16.26,2.8124,2.8123,100
return_noise,0.003,3.4788,0.0001,3.4784,1073.77,-16.26,2.8124,2.812,100
return_noise,0.005,3.4788,0.0002,3.4782,1073.8,-16.26,2.8124,2.8119,100
return_noise,0.01,3.4788,0.0005,3.4775,1073.88,-16.26,2.8124,2.8113,100
signal_shuffle,0.02,1.2267,0.0772,0.9505,119.49,-62.71,0.9917,0.7684,100
signal_shuffle,0.05,1.2226,0.1552,0.8128,121.13,-62.81,0.9884,0.6571,100
signal_shuffle,0.1,1.1581,0.2051,0.4795,108.03,-63.89,0.9362,0.3877,100
signal_shuffle,0.2,1.1726,0.2726,0.4378,114.1,-63.09,0.948,0.3539,100
ranking_noise,0.02,1.2046,0.1407,0.7032,116.03,-62.82,0.9738,0.5685,100
ranking_noise,0.05,1.2058,0.2486,0.2926,121.22,-63.13,0.9748,0.2365,100
ranking_noise,0.1,1.1433,0.345,0.1381,113.87,-64.42,0.9243,0.1117,100
