slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,1.1308,-0.0812,98.07,-62.93,1.56,Weak
0.1,0.2,1.0494,-0.1625,81.74,-63.26,1.29,Weak
0.25,0.5,0.8043,-0.4077,40.32,-64.25,0.63,Unusable
0.5,1.0,0.393,-0.819,-8.97,-65.84,-0.14,Unusable
1.0,2.0,-0.4331,-1.6451,-61.95,-81.78,-0.76,Unusable
