aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.36899,0.73799,2.8227,-0.9511,457.32,-21.22,21.55,Excellent
143844,0.44255,0.8851,2.6248,-1.149,383.42,-21.82,17.57,Excellent
206913,0.53078,1.06155,2.3842,-1.3896,307.47,-22.55,13.64,Institutional
297635,0.63659,1.27318,2.0913,-1.6824,231.82,-23.41,9.9,Institutional
428133,0.7635,1.52699,1.7346,-2.0392,159.23,-24.43,6.52,Survival
615848,0.9157,1.83141,1.3001,-2.4737,92.64,-27.52,3.37,Marginal
885866,1.09825,2.1965,0.7716,-3.0022,34.76,-36.56,0.95,Unusable
1274274,1.31719,2.63438,0.1316,-3.6421,-12.36,-49.93,-0.25,Unusable
1832980,1.57978,3.15956,-0.637,-4.4108,-47.82,-68.81,-0.69,Unusable
2636650,1.89472,3.78943,-1.5469,-5.3207,-72.09,-82.61,-0.87,Unusable
3792690,2.27244,4.54487,-2.5998,-6.3736,-86.89,-91.54,-0.95,Unusable
5455594,2.72545,5.45091,-3.7768,-7.5506,-94.74,-96.46,-0.98,Unusable
7847599,3.26878,6.53757,-5.032,-8.8058,-98.26,-98.89,-0.99,Unusable
11288378,3.92043,7.84086,-6.2923,-10.0661,-99.55,-99.74,-1.0,Unusable
16237767,4.70198,9.40396,-7.473,-11.2468,-99.91,-99.96,-1.0,Unusable
23357214,5.63934,11.27868,-8.5023,-12.2761,-99.99,-99.99,-1.0,Unusable
33598182,6.76357,13.52713,-9.3413,-13.1151,-100.0,-100.0,-1.0,Unusable
48329302,8.11191,16.22382,-9.9875,-13.7613,-100.0,-100.0,-1.0,Unusable
69519279,9.72905,19.4581,-10.464,-14.2378,-100.0,-100.0,-1.0,Unusable
100000000,11.66858,23.33715,-10.8048,-14.5786,-100.0,-100.0,-1.0,Unusable
