L_HIGH,PORT_TSL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.8,0.04,2.1177,171.41,-26.269,-8.22,6.525,2.0317,False
0.8,0.045,2.456,240.12,-26.161,-8.22,9.179,1.9544,False
0.8,0.05,2.9905,321.58,-22.517,-8.22,14.282,0.9847,False
0.8,0.055,3.3987,409.65,-18.42,-8.22,22.239,0.6263,False
0.8,0.06,3.4869,389.54,-11.686,-7.09,33.335,0.4789,False
0.8,0.065,3.5075,404.8,-14.205,-9.156,28.496,0.4476,False
0.8,0.075,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.8,0.08,3.7586,429.4,-12.44,-5.944,34.518,0.4525,False
0.8,0.085,3.7562,436.51,-13.155,-5.647,33.181,0.4617,False
0.8,0.09,3.7562,436.51,-13.155,-5.647,33.181,0.4617,False
0.8,0.095,3.8028,460.75,-10.97,-6.402,42.003,0.4325,False
0.8,0.1,3.7608,456.78,-11.298,-6.402,40.429,0.4325,False
0.8,0.105,3.7608,456.78,-11.298,-6.402,40.429,0.4325,False
0.8,0.11,3.7497,454.41,-11.481,-6.402,39.579,0.4326,False
0.8,0.115,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.8,0.12,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.8,0.125,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.8,0.13,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.9,0.04,2.1164,200.46,-29.267,-9.248,6.849,2.0289,False
0.9,0.045,2.4494,286.75,-29.0,-9.248,9.888,1.9594,False
0.9,0.05,2.9897,394.39,-25.109,-9.248,15.707,0.9839,False
0.9,0.055,3.405,515.67,-20.537,-9.248,25.109,0.6266,False
0.9,0.06,3.4941,489.61,-13.087,-7.976,37.412,0.4804,False
0.9,0.065,3.5151,510.1,-15.904,-10.3,32.074,0.4486,False
0.9,0.075,3.7773,545.41,-13.828,-6.725,39.442,0.4514,False
0.9,0.08,3.7586,542.3,-13.914,-6.687,38.977,0.4525,False
0.9,0.085,3.7563,551.88,-14.707,-6.353,37.524,0.4617,False
0.9,0.09,3.7563,551.88,-14.707,-6.353,37.524,0.4617,False
0.9,0.095,3.8038,585.16,-12.282,-7.203,47.642,0.4328,False
0.9,0.1,3.7618,579.53,-12.646,-7.203,45.826,0.4328,False
0.9,0.105,3.7618,579.53,-12.646,-7.203,45.826,0.4328,False
0.9,0.11,3.7507,576.27,-12.849,-7.203,44.848,0.4329,False
0.9,0.115,3.7398,573.24,-13.047,-7.203,43.936,0.433,False
0.9,0.12,3.7398,573.24,-13.047,-7.203,43.936,0.433,False
0.9,0.125,3.7398,573.24,-13.047,-7.203,43.936,0.433,False
0.9,0.13,3.7398,573.24,-13.047,-7.203,43.936,0.433,False
1.0,0.04,2.0995,227.78,-32.195,-10.275,7.075,2.0311,False
1.0,0.045,2.4471,339.02,-31.751,-10.275,10.677,1.9613,False
1.0,0.05,2.9898,478.71,-27.65,-10.275,17.313,0.9838,False
1.0,0.055,3.4098,641.03,-22.615,-10.275,28.345,0.6269,False
1.0,0.06,3.4944,605.8,-14.475,-8.862,41.851,0.4805,False
1.0,0.065,3.5151,632.49,-17.585,-11.445,35.967,0.4486,False
1.0,0.075,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
1.0,0.08,3.7598,677.32,-15.37,-7.43,44.069,0.4528,False
1.0,0.085,3.7576,690.04,-16.239,-7.059,42.492,0.4621,False
1.0,0.09,3.7576,690.04,-16.239,-7.059,42.492,0.4621,False
1.0,0.095,3.805,734.59,-13.583,-8.003,54.083,0.4332,False
1.0,0.1,3.763,726.76,-13.98,-8.003,51.985,0.4332,False
1.0,0.105,3.763,726.76,-13.98,-8.003,51.985,0.4332,False
1.0,0.11,3.752,722.33,-14.203,-8.003,50.857,0.4333,False
1.0,0.115,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
1.0,0.12,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
1.0,0.125,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
1.0,0.13,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
1.1,0.04,2.0995,261.25,-35.05,-11.303,7.453,2.0311,False
1.1,0.045,2.4471,397.14,-34.415,-11.303,11.54,1.9613,False
1.1,0.05,2.9898,574.99,-30.139,-11.303,19.078,0.9838,False
1.1,0.055,3.4098,786.52,-24.654,-11.303,31.903,0.6269,False
1.1,0.06,3.4944,741.96,-15.851,-9.749,46.809,0.4805,False
1.1,0.065,3.5151,776.41,-19.249,-12.59,40.334,0.4486,False
1.1,0.075,3.7785,842.96,-16.707,-8.22,50.457,0.4518,False
1.1,0.08,3.7598,837.23,-16.808,-8.172,49.811,0.4528,False
1.1,0.085,3.7576,853.82,-17.751,-7.765,48.099,0.4621,False
1.1,0.09,3.7576,853.82,-17.751,-7.765,48.099,0.4621,False
1.1,0.095,3.805,912.7,-14.87,-8.803,61.378,0.4332,False
1.1,0.1,3.763,901.96,-15.3,-8.803,58.951,0.4332,False
1.1,0.105,3.763,901.96,-15.3,-8.803,58.951,0.4332,False
1.1,0.11,3.752,896.03,-15.543,-8.803,57.65,0.4333,False
1.1,0.115,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
1.1,0.12,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
1.1,0.125,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
1.1,0.13,3.741,890.51,-15.779,-8.803,56.438,0.4334,False
1.2,0.04,2.0995,296.68,-37.833,-12.33,7.842,2.0311,False
1.2,0.045,2.4471,460.73,-36.996,-12.33,12.454,1.9613,False
1.2,0.05,2.9898,684.37,-32.576,-12.33,21.008,0.9838,False
1.2,0.055,3.4098,956.78,-26.654,-12.33,35.897,0.6269,False
1.2,0.06,3.4944,901.11,-17.213,-10.635,52.35,0.4805,False
1.2,0.065,3.5151,945.03,-20.896,-13.734,45.225,0.4486,False
1.2,0.075,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,True
1.2,0.08,3.7598,1026.54,-18.229,-8.915,56.312,0.4528,False
1.2,0.085,3.7576,1047.94,-19.244,-8.471,54.456,0.4621,False
1.2,0.09,3.7576,1047.94,-19.244,-8.471,54.456,0.4621,False
1.2,0.095,3.805,1124.87,-16.145,-9.604,69.673,0.4332,False
1.2,0.1,3.763,1110.33,-16.606,-9.604,66.862,0.4332,False
1.2,0.105,3.763,1110.33,-16.606,-9.604,66.862,0.4332,False
1.2,0.11,3.752,1102.48,-16.868,-9.604,65.36,0.4333,False
1.2,0.115,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
1.2,0.12,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
1.2,0.125,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
1.2,0.13,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
1.3,0.04,2.0995,334.03,-40.54,-13.357,8.239,2.0311,False
1.3,0.045,2.4471,529.98,-39.494,-13.357,13.419,1.9613,False
1.3,0.05,2.9898,808.13,-34.961,-13.357,23.115,0.9838,False
1.3,0.055,3.4098,1155.28,-28.616,-13.357,40.372,0.6269,False
1.3,0.06,3.4944,1086.53,-18.563,-11.521,58.532,0.4805,False
1.3,0.065,3.5151,1141.92,-22.527,-14.879,50.692,0.4486,False
1.3,0.075,3.7785,1260.05,-19.517,-9.714,64.563,0.4518,False
1.3,0.08,3.7598,1249.95,-19.633,-9.658,63.665,0.4528,False
1.3,0.085,3.7576,1277.28,-20.717,-9.176,61.655,0.4621,False
1.3,0.09,3.7576,1277.28,-20.717,-9.176,61.655,0.4621,False
1.3,0.095,3.805,1376.79,-17.407,-10.404,79.093,0.4332,False
1.3,0.1,3.763,1357.33,-17.899,-10.404,75.834,0.4332,False
1.3,0.105,3.763,1357.33,-17.899,-10.404,75.834,0.4332,False
1.3,0.11,3.752,1347.05,-18.179,-10.404,74.101,0.4333,False
1.3,0.115,3.741,1337.46,-18.451,-10.404,72.487,0.4334,False
1.3,0.12,3.741,1337.46,-18.451,-10.404,72.487,0.4334,False
1.3,0.125,3.741,1337.46,-18.451,-10.404,72.487,0.4334,False
1.3,0.13,3.741,1337.46,-18.451,-10.404,72.487,0.4334,False
1.4,0.04,2.0995,373.22,-43.174,-14.385,8.645,2.0311,False
1.4,0.045,2.4471,605.05,-41.913,-14.385,14.436,1.9613,False
1.4,0.05,2.9898,947.61,-37.292,-14.385,25.41,0.9838,False
1.4,0.055,3.4098,1385.87,-30.54,-14.385,45.379,0.6269,False
1.4,0.06,3.4944,1301.84,-19.9,-12.407,65.418,0.4805,False
1.4,0.065,3.5151,1370.99,-24.14,-16.023,56.794,0.4486,False
1.4,0.075,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
1.4,0.08,3.7598,1512.79,-21.02,-10.401,71.968,0.4528,False
1.4,0.085,3.7576,1547.37,-22.17,-9.882,69.796,0.4621,False
1.4,0.09,3.7576,1547.37,-22.17,-9.882,69.796,0.4621,False
1.4,0.095,3.805,1674.96,-18.657,-11.204,89.776,0.4332,False
1.4,0.1,3.763,1649.15,-19.177,-11.204,85.995,0.4332,False
1.4,0.105,3.763,1649.15,-19.177,-11.204,85.995,0.4332,False
1.4,0.11,3.752,1635.81,-19.475,-11.204,83.994,0.4333,False
1.4,0.115,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
1.4,0.12,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
1.4,0.125,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
1.4,0.13,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
1.5,0.04,2.0995,414.14,-45.731,-15.413,9.056,2.0311,False
1.5,0.045,2.4471,686.07,-44.253,-15.413,15.503,1.9613,False
1.5,0.05,2.9898,1104.2,-39.571,-15.413,27.904,0.9838,False
1.5,0.055,3.4098,1652.77,-32.427,-15.413,50.968,0.6269,False
1.5,0.06,3.4944,1551.03,-21.225,-13.293,73.076,0.4805,False
1.5,0.065,3.5151,1636.59,-25.736,-17.168,63.591,0.4486,False
1.5,0.075,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
1.5,0.08,3.7598,1821.05,-22.39,-11.144,81.333,0.4528,False
1.5,0.085,3.7576,1864.47,-23.604,-10.588,78.988,0.4621,False
1.5,0.09,3.7576,1864.47,-23.604,-10.588,78.988,0.4621,False
1.5,0.095,3.805,2026.73,-19.894,-12.004,101.874,0.4332,False
1.5,0.1,3.763,1992.83,-20.442,-12.004,97.485,0.4332,False
1.5,0.105,3.763,1992.83,-20.442,-12.004,97.485,0.4332,False
1.5,0.11,3.752,1975.64,-20.758,-12.004,95.176,0.4333,False
1.5,0.115,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
1.5,0.12,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
1.5,0.125,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
1.5,0.13,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
1.6,0.04,2.0995,456.69,-48.213,-16.44,9.472,2.0311,False
1.6,0.045,2.4471,773.13,-46.517,-16.44,16.62,1.9613,False
1.6,0.05,2.9898,1279.31,-41.797,-16.44,30.607,0.9838,False
1.6,0.055,3.4098,1960.59,-34.278,-16.44,57.197,0.6269,False
1.6,0.06,3.4944,1838.5,-22.537,-14.18,81.578,0.4805,False
1.6,0.065,3.5151,1943.47,-27.315,-18.312,71.149,0.4486,False
1.6,0.075,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
1.6,0.08,3.7598,2181.5,-23.743,-11.887,91.879,0.4528,False
1.6,0.085,3.7576,2235.6,-25.02,-11.294,89.354,0.4621,False
