mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6474,0.0,5.6473,2124.84,-6.04,1.4965,1.4964,100
return_noise,0.003,5.6474,0.0001,5.6472,2124.84,-6.04,1.4965,1.4964,100
return_noise,0.005,5.6474,0.0002,5.647,2124.87,-6.04,1.4965,1.4964,100
return_noise,0.01,5.6473,0.0004,5.6462,2123.67,-6.04,1.4965,1.4962,100
signal_shuffle,0.02,3.7476,0.0695,3.4942,1009.72,-18.25,0.9931,0.9259,100
signal_shuffle,0.05,3.6995,0.1255,3.2493,984.03,-18.49,0.9803,0.861,100
signal_shuffle,0.1,3.626,0.1754,3.1555,958.24,-18.71,0.9608,0.8362,100
signal_shuffle,0.2,3.5293,0.2724,2.6243,938.51,-21.19,0.9352,0.6954,100
ranking_noise,0.02,3.7126,0.1181,3.3266,1013.45,-19.38,0.9838,0.8815,100
ranking_noise,0.05,3.6042,0.2197,2.858,987.08,-21.51,0.955,0.7573,100
ranking_noise,0.1,3.367,0.2896,2.7082,880.24,-24.53,0.8922,0.7176,100
