L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,0.6,3.7775,258.73,-9.379,-4.483,27.585,0.4519,False
0.0,0.8,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.0,1.0,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
0.0,1.2,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,True
0.0,1.4,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
0.0,1.5,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
0.0,1.6,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
0.0,1.8,3.7785,3125.88,-26.249,-13.45,119.087,0.4518,False
0.0,2.0,3.7785,4366.43,-28.827,-14.945,151.472,0.4518,False
0.1,0.6,3.7775,258.73,-9.379,-4.483,27.585,0.4519,False
0.1,0.8,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.1,1.0,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
0.1,1.2,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.1,1.4,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
0.1,1.5,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
0.1,1.6,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
0.1,1.8,3.7785,3125.88,-26.249,-13.45,119.087,0.4518,False
0.1,2.0,3.7785,4366.43,-28.827,-14.945,151.472,0.4518,False
0.2,0.6,3.7775,258.73,-9.379,-4.483,27.585,0.4519,False
0.2,0.8,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.2,1.0,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
0.2,1.2,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.2,1.4,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
0.2,1.5,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
0.2,1.6,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
0.2,1.8,3.7785,3125.88,-26.249,-13.45,119.087,0.4518,False
0.2,2.0,3.7785,4366.43,-28.827,-14.945,151.472,0.4518,False
0.3,0.6,3.7775,258.73,-9.379,-4.483,27.585,0.4519,False
0.3,0.8,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.3,1.0,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
0.3,1.2,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.3,1.4,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
0.3,1.5,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
0.3,1.6,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
0.3,1.8,3.7785,3125.88,-26.249,-13.45,119.087,0.4518,False
0.3,2.0,3.7785,4366.43,-28.827,-14.945,151.472,0.4518,False
0.4,0.6,3.7775,258.73,-9.379,-4.483,27.585,0.4519,False
0.4,0.8,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.4,1.0,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
0.4,1.2,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.4,1.4,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
0.4,1.5,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
0.4,1.6,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
0.4,1.8,3.7785,3125.88,-26.249,-13.45,119.087,0.4518,False
0.4,2.0,3.7785,4366.43,-28.827,-14.945,151.472,0.4518,False
0.5,0.6,3.7775,258.73,-9.379,-4.483,27.585,0.4519,False
0.5,0.8,3.7773,431.63,-12.363,-5.978,34.914,0.4514,False
0.5,1.0,3.7785,681.57,-15.276,-7.472,44.617,0.4518,False
0.5,1.2,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.5,1.4,3.7785,1526.01,-20.896,-10.461,73.028,0.4518,False
0.5,1.5,3.7785,1838.21,-22.259,-11.209,82.582,0.4518,False
0.5,1.6,3.7785,2203.59,-23.605,-11.956,93.351,0.4518,False
0.5,1.8,3.7785,3125.88,-26.249,-13.45,119.087,0.4518,False
0.5,2.0,3.7785,4366.43,-28.827,-14.945,151.472,0.4518,False
