window_days,min_cum_ret,start_idx,end_idx
1,-0.089669,283,283
3,-0.138750,72,74
7,-0.154950,228,234
14,-0.124860,286,299
21,-0.115317,90,110
30,-0.081450,173,202
40,-0.094251,89,128
50,0.014850,158,207
60,0.163770,145,204
70,0.158163,264,333
80,0.287777,260,339
90,0.383233,249,338
100,0.423859,89,188
