period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.007324,0.074158,-0.034972,0.21408,-0.089669,61,46
weekly,56,0.571429,0.051209,0.104144,-0.038743,0.391054,-0.06604,32,12
monthly,13,0.846154,0.237802,0.285987,-0.027216,0.720952,-0.052413,11,2
