blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.7738,1034.19,-18.12,0.0,0.0
1,+72.1%,3.2491,589.39,-18.12,-0.5247,-444.8
2,"+72.1%, +49.2%",2.8273,377.74,-18.12,-0.9464,-656.45
3,"+72.1%, +49.2%, +32.0%",2.466,270.34,-18.12,-1.3078,-763.85
