Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.2141,4.7,20.0,✓
5,5,0.855,18.9,45.0,✓
10,10,1.4835,32.8,65.0,✓
20,21,2.6499,58.6,,
25,26,3.1282,69.2,,
