shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.7738,1034.19,-18.12,0.0,0.0,True
-10.0,1,3.7251,1005.91,-20.343,-0.0487,-2.223,True
-10.0,3,3.4449,840.68,-33.229,-0.3288,-15.109,True
-10.0,5,3.1306,675.38,-45.915,-0.6432,-27.795,True
-20.0,1,3.4977,892.68,-29.194,-0.2761,-11.074,True
-20.0,3,2.8411,580.31,-53.104,-0.9327,-34.984,False
-20.0,5,2.2346,351.81,-69.987,-1.5392,-51.867,False
-30.0,1,3.2327,778.27,-38.045,-0.5411,-19.925,True
-30.0,3,2.2442,371.15,-68.584,-1.5296,-50.463,False
-30.0,5,1.4538,144.93,-84.606,-2.32,-66.486,False
-40.0,1,2.9508,662.48,-46.896,-0.823,-28.776,True
-40.0,3,1.7168,208.3,-80.216,-2.057,-62.096,False
-40.0,5,0.8401,20.8,-92.878,-2.9337,-74.758,False
