EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.8766,1398.12,-20.088,-8.956,69.598,0.4863,False
0.001,0.0015,3.7825,1130.08,-20.079,-8.956,56.283,0.4306,False
0.001,0.002,3.7211,1066.64,-20.512,-8.956,52.0,0.4351,False
0.001,0.0025,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.001,0.003,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0015,0.001,3.7825,1130.08,-20.079,-8.956,56.283,0.4306,False
0.0015,0.0015,3.7825,1130.08,-20.079,-8.956,56.283,0.4306,False
0.0015,0.002,3.7211,1066.64,-20.512,-8.956,52.0,0.4351,False
0.0015,0.0025,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.0015,0.003,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.002,0.001,3.7211,1066.64,-20.512,-8.956,52.0,0.4351,False
0.002,0.0015,3.7211,1066.64,-20.512,-8.956,52.0,0.4351,False
0.002,0.002,3.7211,1066.64,-20.512,-8.956,52.0,0.4351,False
0.002,0.0025,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.002,0.003,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.0025,0.001,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.0025,0.0015,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.0025,0.002,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.0025,0.0025,3.6956,983.85,-18.12,-8.967,54.296,0.4915,False
0.0025,0.003,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.003,0.001,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.003,0.0015,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.003,0.002,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.003,0.0025,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,False
0.003,0.003,3.7785,1034.19,-18.12,-8.967,57.074,0.4518,True
