Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.0754,0.1385,0.0424,0.4051,387,
CAGR%,level,1,-0.0733,0.1498,-0.0386,0.4489,388,
AvgDailyRet%,level,1,-0.0766,0.1321,-0.0367,0.471,388,
Sharpe,delta,1,0.0131,0.8038,0.0327,0.5352,362,
CAGR%,delta,1,0.0871,0.0872,0.0305,0.5491,387,
AvgDailyRet%,delta,1,0.0304,0.5504,0.023,0.6524,387,
Calmar,level,1,-0.0722,0.2271,-0.0182,0.7603,282,
Sharpe,level,1,-0.0417,0.4284,-0.0178,0.735,363,
Sortino,level,1,-0.0509,0.3177,-0.0117,0.8186,388,
Calmar,delta,1,-0.0251,0.6753,0.0026,0.9651,281,
CAGR%,level,3,-0.2119,0.0,-0.0924,0.0699,386,
AvgDailyRet%,level,3,-0.1561,0.0021,-0.0831,0.103,386,
Sharpe,level,3,-0.1082,0.04,-0.0674,0.2013,361,
Sortino,level,3,-0.1406,0.0057,-0.0589,0.2483,386,
Calmar,level,3,-0.0579,0.3322,-0.0439,0.4623,282,
Sortino,delta,3,0.0119,0.8166,0.0325,0.5248,385,
Calmar,delta,3,-0.0556,0.3527,-0.0019,0.9745,281,
Sharpe,delta,3,-0.0234,0.6586,-0.0015,0.9774,360,
CAGR%,delta,3,-0.0475,0.3522,0.0006,0.9912,385,
AvgDailyRet%,delta,3,-0.0208,0.6836,-0.0003,0.9949,385,
CAGR%,level,5,-0.1452,0.0044,-0.1164,0.0225,384,yes
AvgDailyRet%,level,5,-0.1638,0.0013,-0.1038,0.042,384,yes
Sharpe,level,5,-0.1083,0.0403,-0.1018,0.054,359,
CAGR%,delta,5,-0.0785,0.1254,-0.1002,0.05,383,
AvgDailyRet%,delta,5,-0.0632,0.2171,-0.0805,0.1157,383,
Sortino,level,5,-0.1646,0.0012,-0.0775,0.1295,384,
Sortino,delta,5,-0.057,0.2661,-0.066,0.1975,383,
Sharpe,delta,5,-0.0432,0.4155,-0.052,0.3261,358,
Calmar,level,5,-0.0625,0.2956,-0.0404,0.4997,282,
Calmar,delta,5,-0.0166,0.782,-0.0121,0.8398,281,
