slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,0.6824,-0.0701,19.53,-66.35,0.29,Unusable
0.1,0.2,0.6122,-0.1403,10.11,-67.55,0.15,Unusable
0.25,0.5,0.401,-0.3515,-13.96,-70.91,-0.2,Unusable
0.5,1.0,0.0481,-0.7044,-43.06,-75.77,-0.57,Unusable
1.0,2.0,-0.657,-1.4095,-75.22,-83.23,-0.9,Unusable
