window_days,min_cum_ret,start_idx,end_idx
1,-0.284240,264,264
3,-0.284240,262,264
7,-0.395980,258,264
14,-0.412555,40,53
21,-0.514230,256,276
30,-0.615357,84,113
40,-0.742957,84,123
50,-0.854497,84,133
60,-0.904987,85,144
70,-0.962624,77,146
80,-0.818194,72,151
90,-0.505189,40,129
100,-0.574489,40,139
