TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,35,0.377,-55.74,4.288,-2.617,-0.4,315
0.05,35,0.571,-52.93,4.087,-2.693,1.957,315
0.06,35,0.383,-56.83,4.555,-3.8,1.957,315
0.07,35,0.71,-54.97,2.865,-1.911,1.957,315
0.08,35,0.792,-55.98,2.71,-1.911,1.957,315
0.09,35,0.753,-57.36,2.71,-1.911,1.957,315
0.1,35,0.808,-55.42,2.71,-1.911,1.957,315
0.11,35,0.808,-55.42,2.71,-1.911,1.957,315
0.12,35,0.808,-55.42,2.71,-1.911,1.957,315
0.13,35,0.808,-55.42,2.71,-1.911,1.957,315
0.14,35,0.808,-55.42,2.71,-1.911,1.957,315
0.15,35,0.808,-55.42,2.71,-1.911,1.957,315
0.16,35,0.808,-55.42,2.71,-1.911,1.957,315
