mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,2.9782,0.049,2.919,783.94,-25.11,3.639,3.5667,100
return_noise,0.003,2.9777,0.0473,2.919,783.1,-25.11,3.6384,3.5666,100
return_noise,0.005,2.9725,0.0495,2.9187,778.81,-25.11,3.632,3.5663,100
return_noise,0.01,2.974,0.0494,2.9182,779.94,-25.11,3.6339,3.5656,100
signal_shuffle,0.02,0.811,0.1147,0.326,40.37,-65.47,0.9909,0.3983,100
signal_shuffle,0.05,0.829,0.2107,0.1926,46.22,-65.5,1.0129,0.2353,100
signal_shuffle,0.1,0.8135,0.3124,-0.2732,48.22,-67.55,0.994,-0.3338,100
signal_shuffle,0.2,0.8135,0.3468,-0.2286,50.49,-67.66,0.994,-0.2794,100
ranking_noise,0.02,0.82,0.1428,0.4254,42.69,-65.65,1.0019,0.5198,100
ranking_noise,0.05,0.8593,0.3042,-0.2598,56.62,-65.42,1.05,-0.3175,100
ranking_noise,0.1,0.7572,0.3687,-0.1682,42.87,-68.85,0.9252,-0.2055,100
