n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.7525,29.74,-65.408,0.0,0.0
1,47.0%,0.413,-8.91,-65.408,-0.3395,-38.65
3,"47.0%, 34.9%, 31.7%",-0.1763,-46.46,-73.507,-0.9288,-76.2
5,"47.0%, 34.9%, 31.7%, 30.7%, 25.6%",-0.7777,-66.32,-79.735,-1.5303,-96.06
10,"47.0%, 34.9%, 31.7%, 30.7%, 25.6% … +5 more",-2.4307,-87.56,-89.528,-3.1832,-117.29
