threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,1.9867,1,4.0,1,False,Single-cell peak | baseline outside
0.975,2.039,1,4.0,1,False,Single-cell peak | baseline outside
0.99,2.0704,1,4.0,1,False,Single-cell peak | baseline outside
