blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.7525,29.74,-65.408,0.0,0.0
1,+121.7%,0.0536,-38.09,-67.22,-0.6989,-67.83
2,"+121.7%, +59.4%",-0.5024,-59.62,-79.252,-1.2549,-89.36
3,"+121.7%, +59.4%, +28.5%",-1.1481,-67.91,-80.091,-1.9007,-97.65
