period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.09799,0.002388,0.116918,-0.072183,0.47025,-0.28424,39,50
weekly,56,0.339286,0.018364,0.194969,-0.099112,0.545276,-0.364219,19,27
monthly,13,0.538462,0.095269,0.394144,-0.253419,1.240444,-0.423194,7,6
