threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,0.7942,80,100.0,80,True,Robust plateau | baseline inside
0.975,0.8151,64,80.0,40,False,Robust plateau | baseline outside
0.99,0.8276,8,10.0,8,False,Robust plateau | baseline outside
