PORT_SL,PORT_TSL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.04,0.4786,-4.87,-66.296,-18.502,-0.073,4.6691,False
-0.04,0.045,0.7315,26.68,-65.976,-18.502,0.404,4.3258,False
-0.04,0.05,0.6791,17.94,-68.907,-19.162,0.26,3.839,False
-0.04,0.055,0.6339,11.09,-68.435,-19.162,0.162,4.2751,False
-0.04,0.06,0.4622,-11.68,-73.199,-19.162,-0.16,4.4187,False
-0.04,0.065,0.4823,-9.2,-73.521,-19.331,-0.125,4.3363,False
-0.04,0.075,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.08,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.085,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.09,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.095,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.1,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.105,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.11,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.115,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.12,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.125,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.04,0.13,0.8,35.87,-74.617,-19.734,0.481,2.5091,False
-0.05,0.04,0.4786,-4.87,-66.296,-18.502,-0.073,4.6691,False
-0.05,0.045,0.8473,46.05,-61.44,-16.445,0.75,4.2389,False
-0.05,0.05,0.7858,34.86,-64.92,-19.162,0.537,3.7819,False
-0.05,0.055,0.6979,20.21,-65.313,-21.604,0.309,4.2536,False
-0.05,0.06,0.5315,-3.68,-68.645,-22.418,-0.054,4.5555,False
-0.05,0.065,0.6772,19.15,-64.794,-23.738,0.296,4.1109,False
-0.05,0.075,0.8531,46.7,-65.647,-23.738,0.711,3.1691,False
-0.05,0.08,0.8531,46.7,-65.647,-23.738,0.711,3.1691,False
-0.05,0.085,0.8406,44.55,-66.195,-23.738,0.673,3.1691,False
-0.05,0.09,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.095,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.1,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.105,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.11,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.115,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.12,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.125,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.05,0.13,0.836,43.76,-66.398,-23.738,0.659,3.1691,False
-0.055,0.04,0.4786,-4.87,-66.296,-18.502,-0.073,4.6691,False
-0.055,0.045,0.8473,46.05,-61.44,-16.445,0.75,4.2389,False
-0.055,0.05,0.7858,34.86,-64.92,-19.162,0.537,3.7819,False
-0.055,0.055,0.6943,19.66,-65.486,-21.604,0.3,4.2536,False
