Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.4702,10.3,20.0,✓
5,4,1.4433,31.7,45.0,✓
10,8,2.4292,53.3,65.0,✓
20,17,3.9369,86.3,,
25,22,4.2139,92.4,,
