shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,0.7525,29.74,-65.408,0.0,0.0,True
-10.0,1,0.6625,16.64,-69.199,-0.09,-3.791,False
-10.0,3,0.5012,-3.86,-75.051,-0.2513,-9.643,False
-10.0,5,0.3422,-20.75,-79.792,-0.4103,-14.384,False
-20.0,1,0.5776,4.69,-72.622,-0.1749,-7.214,False
-20.0,3,0.2584,-30.47,-82.478,-0.4941,-17.07,False
-20.0,5,-0.0446,-53.82,-88.786,-0.7971,-23.378,False
-30.0,1,0.4914,-7.37,-76.044,-0.2611,-10.636,False
-30.0,3,0.029,-51.85,-88.262,-0.7236,-22.853,False
-30.0,5,-0.3875,-74.97,-94.248,-1.1401,-28.84,False
-40.0,1,0.4055,-19.58,-79.466,-0.347,-14.058,False
-40.0,3,-0.1786,-68.49,-92.608,-0.9311,-27.2,False
-40.0,5,-0.6746,-87.65,-97.339,-1.4271,-31.931,False
