surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,1.6309,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,1.6738,8,12.5,8,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,1.6995,8,12.5,8,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,0.8104,86,47.78,40,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,0.8318,24,13.33,15,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,0.8446,13,7.22,9,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,0.7899,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,0.8107,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,0.8232,12,11.11,12,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,0.8419,11,5.56,11,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,0.864,1,0.51,1,False,Single-cell peak | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,0.8773,1,0.51,1,False,Single-cell peak | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,0.795,80,100.0,80,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,0.8159,63,78.75,40,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,0.8284,12,15.0,7,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,0.7942,80,100.0,80,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,0.8151,64,80.0,40,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,0.8276,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,0.9692,40,50.0,40,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,0.9947,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.01,8,10.0,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,0.9692,48,50.0,48,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,0.9947,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,1.01,8,8.33,8,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,0.9992,9,12.86,9,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,1.0255,2,2.86,2,False,Thin plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,1.0413,2,2.86,2,False,Thin plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,1.9867,1,4.0,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,2.039,1,4.0,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,2.0704,1,4.0,1,False,Single-cell peak | baseline outside
