threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,0.9692,40,50.0,40,False,Robust plateau | baseline outside
0.975,0.9947,8,10.0,8,False,Robust plateau | baseline outside
0.99,1.01,8,10.0,8,False,Robust plateau | baseline outside
